,Survived,Pclass,Sex,Age,Family
134,0,2,male,25.0,0
135,0,2,male,23.0,0
136,1,1,female,19.0,2
137,0,1,male,37.0,1
138,0,3,male,16.0,0
139,0,1,male,24.0,0
140,0,3,female,,2
141,1,3,female,22.0,0
142,1,3,female,24.0,1
143,0,3,male,19.0,0
144,0,2,male,18.0,0
145,0,2,male,19.0,2
146,1,3,male,27.0,0
147,0,3,female,9.0,4
148,0,2,male,36.5,2
149,0,2,male,42.0,0
150,0,2,male,51.0,0
151,1,1,female,22.0,1
152,0,3,male,55.5,0
153,0,3,male,40.5,2
154,0,3,male,,0
155,0,1,male,51.0,1
156,1,3,female,16.0,0
157,0,3,male,30.0,0
158,0,3,male,,0
159,0,3,male,,10
160,0,3,male,44.0,1
161,1,2,female,40.0,0
162,0,3,male,26.0,0
163,0,3,male,17.0,0
164,0,3,male,1.0,5
165,1,3,male,9.0,2
166,1,1,female,,1
167,0,3,female,45.0,5
168,0,1,male,,0
169,0,3,male,28.0,0
170,0,1,male,61.0,0
171,0,3,male,4.0,5
172,1,3,female,1.0,2
173,0,3,male,21.0,0
174,0,1,male,56.0,0
175,0,3,male,18.0,2
176,0,3,male,,4
177,0,1,female,50.0,0
178,0,2,male,30.0,0
179,0,3,male,36.0,0
180,0,3,female,,10
181,0,2,male,,0
182,0,3,male,9.0,6
183,1,2,male,1.0,3
184,1,3,female,4.0,2
185,0,1,male,,0
186,1,3,female,,1
187,1,1,male,45.0,0
188,0,3,male,40.0,2
189,0,3,male,36.0,0
190,1,2,female,32.0,0
191,0,2,male,19.0,0
192,1,3,female,19.0,1
193,1,2,male,3.0,2
194,1,1,female,44.0,0
195,1,1,female,58.0,0
196,0,3,male,,0
197,0,3,male,42.0,1
198,1,3,female,,0
199,0,2,female,24.0,0
200,0,3,male,28.0,0
201,0,3,male,,10
202,0,3,male,34.0,0
203,0,3,male,45.5,0
204,1,3,male,18.0,0
205,0,3,female,2.0,1
206,0,3,male,32.0,1
207,1,3,male,26.0,0
208,1,3,female,16.0,0
209,1,1,male,40.0,0
210,0,3,male,24.0,0
211,1,2,female,35.0,0
212,0,3,male,22.0,0
213,0,2,male,30.0,0
214,0,3,male,,1
215,1,1,female,31.0,1
216,1,3,female,27.0,0
217,0,2,male,42.0,1
218,1,1,female,32.0,0
219,0,2,male,30.0,0
220,1,3,male,16.0,0
221,0,2,male,27.0,0
222,0,3,male,51.0,0
223,0,3,male,,0
224,1,1,male,38.0,1
225,0,3,male,22.0,0
226,1,2,male,19.0,0
227,0,3,male,20.5,0
228,0,2,male,18.0,0
229,0,3,female,,4
230,1,1,female,35.0,1
231,0,3,male,29.0,0
232,0,2,male,59.0,0
233,1,3,female,5.0,6
234,0,2,male,24.0,0
235,0,3,female,,0
236,0,2,male,44.0,1
237,1,2,female,8.0,2
238,0,2,male,19.0,0
239,0,2,male,33.0,0
240,0,3,female,,1
241,1,3,female,,1
242,0,2,male,29.0,0
243,0,3,male,22.0,0
244,0,3,male,30.0,0
245,0,1,male,44.0,2
246,0,3,female,25.0,0
247,1,2,female,24.0,2
248,1,1,male,37.0,2
249,0,2,male,54.0,1
250,0,3,male,,0
251,0,3,female,29.0,2
252,0,1,male,62.0,0
253,0,3,male,30.0,1
254,0,3,female,41.0,2
255,1,3,female,29.0,2
256,1,1,female,,0
257,1,1,female,30.0,0
258,1,1,female,35.0,0
259,1,2,female,50.0,1
260,0,3,male,,0
261,1,3,male,3.0,6
262,0,1,male,52.0,2
263,0,1,male,40.0,0
264,0,3,female,,0
265,0,2,male,36.0,0
266,0,3,male,16.0,5
267,1,3,male,25.0,1
268,1,1,female,58.0,1
269,1,1,female,35.0,0
270,0,1,male,,0
271,1,3,male,25.0,0
272,1,2,female,41.0,1
273,0,1,male,37.0,1
274,1,3,female,,0
275,1,1,female,63.0,1
276,0,3,female,45.0,0
277,0,2,male,,0
278,0,3,male,7.0,5
279,1,3,female,35.0,2
280,0,3,male,65.0,0
281,0,3,male,28.0,0
282,0,3,male,16.0,0
283,1,3,male,19.0,0
284,0,1,male,,0
285,0,3,male,33.0,0
286,1,3,male,30.0,0
287,0,3,male,22.0,0
288,1,2,male,42.0,0
289,1,3,female,22.0,0
290,1,1,female,26.0,0
291,1,1,female,19.0,1
292,0,2,male,36.0,0
293,0,3,female,24.0,0
294,0,3,male,24.0,0
295,0,1,male,,0
296,0,3,male,23.5,0
297,0,1,female,2.0,3
298,1,1,male,,0
299,1,1,female,50.0,1
300,1,3,female,,0
301,1,3,male,,2
302,0,3,male,19.0,0
303,1,2,female,,0
304,0,3,male,,0
305,1,1,male,0.92,3
306,1,1,female,,0
307,1,1,female,17.0,1
308,0,2,male,30.0,1
309,1,1,female,30.0,0
310,1,1,female,24.0,0
311,1,1,female,18.0,4
312,0,2,female,26.0,2
313,0,3,male,28.0,0
314,0,2,male,43.0,2
315,1,3,female,26.0,0
316,1,2,female,24.0,1
317,0,2,male,54.0,0
318,1,1,female,31.0,2
319,1,1,female,40.0,2
320,0,3,male,22.0,0
321,0,3,male,27.0,0
322,1,2,female,30.0,0
323,1,2,female,22.0,2
324,0,3,male,,10
325,1,1,female,36.0,0
326,0,3,male,61.0,0
327,1,2,female,36.0,0
328,1,3,female,31.0,2
329,1,1,female,16.0,1
330,1,3,female,,2
331,0,1,male,45.5,0
332,0,1,male,38.0,1
333,0,3,male,16.0,2
334,1,1,female,,1
335,0,3,male,,0
336,0,1,male,29.0,1
337,1,1,female,41.0,0
338,1,3,male,45.0,0
339,0,1,male,45.0,0
340,1,2,male,2.0,2
341,1,1,female,24.0,5
342,0,2,male,28.0,0
343,0,2,male,25.0,0
344,0,2,male,36.0,0
345,1,2,female,24.0,0
346,1,2,female,40.0,0
347,1,3,female,,1
348,1,3,male,3.0,2
349,0,3,male,42.0,0
350,0,3,male,23.0,0
351,0,1,male,,0
352,0,3,male,15.0,2
353,0,3,male,25.0,1
354,0,3,male,,0
355,0,3,male,28.0,0
356,1,1,female,22.0,1
357,0,2,female,38.0,0
358,1,3,female,,0
359,1,3,female,,0
360,0,3,male,40.0,5
361,0,2,male,29.0,1
362,0,3,female,45.0,1
363,0,3,male,35.0,0
364,0,3,male,,1
365,0,3,male,30.0,0
366,1,1,female,60.0,1
367,1,3,female,,0
368,1,3,female,,0
369,1,1,female,24.0,0
370,1,1,male,25.0,1
371,0,3,male,18.0,1
372,0,3,male,19.0,0
373,0,1,male,22.0,0
374,0,3,female,3.0,4
375,1,1,female,,1
376,1,3,female,22.0,0
377,0,1,male,27.0,2
378,0,3,male,20.0,0
379,0,3,male,19.0,0
380,1,1,female,42.0,0
381,1,3,female,1.0,2
382,0,3,male,32.0,0
383,1,1,female,35.0,1
384,0,3,male,,0
385,0,2,male,18.0,0
386,0,3,male,1.0,7
387,1,2,female,36.0,0
388,0,3,male,,0
389,1,2,female,17.0,0
390,1,1,male,36.0,3
391,1,3,male,21.0,0
392,0,3,male,28.0,2
393,1,1,female,23.0,1
394,1,3,female,24.0,2
395,0,3,male,22.0,0
396,0,3,female,31.0,0
397,0,2,male,46.0,0
398,0,2,male,23.0,0
399,1,2,female,28.0,0
400,1,3,male,39.0,0
401,0,3,male,26.0,0
402,0,3,female,21.0,1
403,0,3,male,28.0,1
404,0,3,female,20.0,0
405,0,2,male,34.0,1
406,0,3,male,51.0,0
407,1,2,male,3.0,2
408,0,3,male,21.0,0
409,0,3,female,,4
410,0,3,male,,0
411,0,3,male,,0
412,1,1,female,33.0,1
413,0,2,male,,0
414,1,3,male,44.0,0
415,0,3,female,,0
416,1,2,female,34.0,2
417,1,2,female,18.0,2
418,0,2,male,30.0,0
419,0,3,female,10.0,2
420,0,3,male,,0
421,0,3,male,21.0,0
422,0,3,male,29.0,0
423,0,3,female,28.0,2
424,0,3,male,18.0,2
425,0,3,male,,0
426,1,2,female,28.0,1
427,1,2,female,19.0,0
428,0,3,male,,0
429,1,3,male,32.0,0
430,1,1,male,28.0,0
431,1,3,female,,1
432,1,2,female,42.0,1
433,0,3,male,17.0,0
434,0,1,male,50.0,1
435,1,1,female,14.0,3
436,0,3,female,21.0,4
437,1,2,female,24.0,5
438,0,1,male,64.0,5
439,0,2,male,31.0,0
440,1,2,female,45.0,2
441,0,3,male,20.0,0
442,0,3,male,25.0,1
443,1,2,female,28.0,0
444,1,3,male,,0
445,1,1,male,4.0,2
446,1,2,female,13.0,1
447,1,1,male,34.0,0
448,1,3,female,5.0,3
449,1,1,male,52.0,0
450,0,2,male,36.0,3
451,0,3,male,,1
452,0,1,male,30.0,0
453,1,1,male,49.0,1
454,0,3,male,,0
455,1,3,male,29.0,0
456,0,1,male,65.0,0
457,1,1,female,,1
458,1,2,female,50.0,0
459,0,3,male,,0
460,1,1,male,48.0,0
461,0,3,male,34.0,0
462,0,1,male,47.0,0
463,0,2,male,48.0,0
464,0,3,male,,0
465,0,3,male,38.0,0
466,0,2,male,,0
467,0,1,male,56.0,0
468,0,3,male,,0
469,1,3,female,0.75,3
470,0,3,male,,0
471,0,3,male,38.0,0
472,1,2,female,33.0,3
473,1,2,female,23.0,0
474,0,3,female,22.0,0
475,0,1,male,,0
476,0,2,male,34.0,1
477,0,3,male,29.0,1
478,0,3,male,22.0,0
479,1,3,female,2.0,1
480,0,3,male,9.0,7
481,0,2,male,,0
482,0,3,male,50.0,0
483,1,3,female,63.0,0
484,1,1,male,25.0,1
485,0,3,female,,4
486,1,1,female,35.0,1
487,0,1,male,58.0,0
488,0,3,male,30.0,0
489,1,3,male,9.0,2
490,0,3,male,,1
491,0,3,male,21.0,0
492,0,1,male,55.0,0
493,0,1,male,71.0,0
494,0,3,male,21.0,0
495,0,3,male,,0
496,1,1,female,54.0,1
497,0,3,male,,0
498,0,1,female,25.0,3
499,0,3,male,24.0,0
500,0,3,male,17.0,0
501,0,3,female,21.0,0
502,0,3,female,,0
503,0,3,female,37.0,0
504,1,1,female,16.0,0
505,0,1,male,18.0,1
506,1,2,female,33.0,2
507,1,1,male,,0
508,0,3,male,28.0,0
509,1,3,male,26.0,0
510,1,3,male,29.0,0
511,0,3,male,,0
512,1,1,male,36.0,0
513,1,1,female,54.0,1
514,0,3,male,24.0,0
515,0,1,male,47.0,0
516,1,2,female,34.0,0
517,0,3,male,,0
518,1,2,female,36.0,1
519,0,3,male,32.0,0
520,1,1,female,30.0,0
521,0,3,male,22.0,0
522,0,3,male,,0
523,1,1,female,44.0,1
524,0,3,male,,0
525,0,3,male,40.5,0
526,1,2,female,50.0,0
527,0,1,male,,0
528,0,3,male,39.0,0
529,0,2,male,23.0,3
530,1,2,female,2.0,2
531,0,3,male,,0
532,0,3,male,17.0,2
533,1,3,female,,2
534,0,3,female,30.0,0
535,1,2,female,7.0,2
536,0,1,male,45.0,0
537,1,1,female,30.0,0
538,0,3,male,,0
539,1,1,female,22.0,2
540,1,1,female,36.0,2
541,0,3,female,9.0,6
542,0,3,female,11.0,6
543,1,2,male,32.0,1
544,0,1,male,50.0,1
545,0,1,male,64.0,0
546,1,2,female,19.0,1
547,1,2,male,,0
548,0,3,male,33.0,2
549,1,2,male,8.0,2
550,1,1,male,17.0,2
551,0,2,male,27.0,0
552,0,3,male,,0
553,1,3,male,22.0,0
554,1,3,female,22.0,0
555,0,1,male,62.0,0
556,1,1,female,48.0,1
557,0,1,male,,0
558,1,1,female,39.0,2
559,1,3,female,36.0,1
560,0,3,male,,0
561,0,3,male,40.0,0
562,0,2,male,28.0,0
563,0,3,male,,0
564,0,3,female,,0
565,0,3,male,24.0,2
566,0,3,male,19.0,0
567,0,3,female,29.0,4
568,0,3,male,,0
569,1,3,male,32.0,0
570,1,2,male,62.0,0
571,1,1,female,53.0,2
572,1,1,male,36.0,0
573,1,3,female,,0
574,0,3,male,16.0,0
575,0,3,male,19.0,0
576,1,2,female,34.0,0
577,1,1,female,39.0,1
578,0,3,female,,1
579,1,3,male,32.0,0
580,1,2,female,25.0,2
581,1,1,female,39.0,2
582,0,2,male,54.0,0
583,0,1,male,36.0,0
584,0,3,male,,0
585,1,1,female,18.0,2
586,0,2,male,47.0,0
587,1,1,male,60.0,2
588,0,3,male,22.0,0
589,0,3,male,,0
590,0,3,male,35.0,0
591,1,1,female,52.0,1
592,0,3,male,47.0,0
593,0,3,female,,2
594,0,2,male,37.0,1
595,0,3,male,36.0,2
596,1,2,female,,0
597,0,3,male,49.0,0
598,0,3,male,,0
599,1,1,male,49.0,1
600,1,2,female,24.0,3
601,0,3,male,,0
602,0,1,male,,0
603,0,3,male,44.0,0
604,1,1,male,35.0,0
605,0,3,male,36.0,1
606,0,3,male,30.0,0
607,1,1,male,27.0,0
608,1,2,female,22.0,3
609,1,1,female,40.0,0
610,0,3,female,39.0,6
611,0,3,male,,0
612,1,3,female,,1
613,0,3,male,,0
614,0,3,male,35.0,0
615,1,2,female,24.0,3
616,0,3,male,34.0,2
617,0,3,female,26.0,1
618,1,2,female,4.0,3
619,0,2,male,26.0,0
620,0,3,male,27.0,1
621,1,1,male,42.0,1
622,1,3,male,20.0,2
623,0,3,male,21.0,0
624,0,3,male,21.0,0
625,0,1,male,61.0,0
626,0,2,male,57.0,0
627,1,1,female,21.0,0
628,0,3,male,26.0,0
629,0,3,male,,0
630,1,1,male,80.0,0
631,0,3,male,51.0,0
632,1,1,male,32.0,0
633,0,1,male,,0
634,0,3,female,9.0,5
635,1,2,female,28.0,0
636,0,3,male,32.0,0
637,0,2,male,31.0,2
638,0,3,female,41.0,5
639,0,3,male,,1
640,0,3,male,20.0,0
641,1,1,female,24.0,0
642,0,3,female,2.0,5
643,1,3,male,,0
644,1,3,female,0.75,3
645,1,1,male,48.0,1
646,0,3,male,19.0,0
647,1,1,male,56.0,0
648,0,3,male,,0
649,1,3,female,23.0,0
650,0,3,male,,0
651,1,2,female,18.0,1
652,0,3,male,21.0,0
653,1,3,female,,0
654,0,3,female,18.0,0
655,0,2,male,24.0,2
656,0,3,male,,0
657,0,3,female,32.0,2
658,0,2,male,23.0,0
659,0,1,male,58.0,2
660,1,1,male,50.0,2
661,0,3,male,40.0,0
662,0,1,male,47.0,0
663,0,3,male,36.0,0
664,1,3,male,20.0,1
665,0,2,male,32.0,2
666,0,2,male,25.0,0
667,0,3,male,,0
668,0,3,male,43.0,0
669,1,1,female,,1
670,1,2,female,40.0,2
671,0,1,male,31.0,1
672,0,2,male,70.0,0
673,1,2,male,31.0,0
674,0,2,male,,0
675,0,3,male,18.0,0
676,0,3,male,24.5,0
677,1,3,female,18.0,0
678,0,3,female,43.0,7
679,1,1,male,36.0,1
680,0,3,female,,0
681,1,1,male,27.0,0
682,0,3,male,20.0,0
683,0,3,male,14.0,7
684,0,2,male,60.0,2
685,0,2,male,25.0,3
686,0,3,male,14.0,5
687,0,3,male,19.0,0
688,0,3,male,18.0,0
689,1,1,female,15.0,1
690,1,1,male,31.0,1
691,1,3,female,4.0,1
692,1,3,male,,0
693,0,3,male,25.0,0
694,0,1,male,60.0,0
695,0,2,male,52.0,0
696,0,3,male,44.0,0
697,1,3,female,,0
698,0,1,male,49.0,2
699,0,3,male,42.0,0
700,1,1,female,18.0,1
701,1,1,male,35.0,0
702,0,3,female,18.0,1
703,0,3,male,25.0,0
704,0,3,male,26.0,1
705,0,2,male,39.0,0
706,1,2,female,45.0,0
707,1,1,male,42.0,0
708,1,1,female,22.0,0
709,1,3,male,,2
710,1,1,female,24.0,0
711,0,1,male,,0
712,1,1,male,48.0,1
713,0,3,male,29.0,0
714,0,2,male,52.0,0
715,0,3,male,19.0,0
716,1,1,female,38.0,0
717,1,2,female,27.0,0
718,0,3,male,,0
719,0,3,male,33.0,0
720,1,2,female,6.0,1
721,0,3,male,17.0,1
722,0,2,male,34.0,0
723,0,2,male,50.0,0
724,1,1,male,27.0,1
725,0,3,male,20.0,0
726,1,2,female,30.0,3
727,1,3,female,,0
728,0,2,male,25.0,1
729,0,3,female,25.0,1
730,1,1,female,29.0,0
731,0,3,male,11.0,0
732,0,2,male,,0
733,0,2,male,23.0,0
734,0,2,male,23.0,0
735,0,3,male,28.5,0
736,0,3,female,48.0,4
737,1,1,male,35.0,0
738,0,3,male,,0
739,0,3,male,,0
740,1,1,male,,0
741,0,1,male,36.0,1
742,1,1,female,21.0,4
743,0,3,male,24.0,1
744,1,3,male,31.0,0
745,0,1,male,70.0,2
746,0,3,male,16.0,2
747,1,2,female,30.0,0
748,0,1,male,19.0,1
749,0,3,male,31.0,0
750,1,2,female,4.0,2
751,1,3,male,6.0,1
752,0,3,male,33.0,0
753,0,3,male,23.0,0
754,1,2,female,48.0,3
755,1,2,male,0.67,2
756,0,3,male,28.0,0
757,0,2,male,18.0,0
758,0,3,male,34.0,0
759,1,1,female,33.0,0
760,0,3,male,,0
761,0,3,male,41.0,0
762,1,3,male,20.0,0
763,1,1,female,36.0,3
764,0,3,male,16.0,0
765,1,1,female,51.0,1
766,0,1,male,,0
767,0,3,female,30.5,0
768,0,3,male,,1
769,0,3,male,32.0,0
770,0,3,male,24.0,0
771,0,3,male,48.0,0
772,0,2,female,57.0,0
773,0,3,male,,0
774,1,2,female,54.0,4
775,0,3,male,18.0,0
776,0,3,male,,0
777,1,3,female,5.0,0
778,0,3,male,,0
779,1,1,female,43.0,1
780,1,3,female,13.0,0
781,1,1,female,17.0,1
782,0,1,male,29.0,0
783,0,3,male,,3
784,0,3,male,25.0,0
785,0,3,male,25.0,0
786,1,3,female,18.0,0
787,0,3,male,8.0,5
788,1,3,male,1.0,3
789,0,1,male,46.0,0
790,0,3,male,,0
791,0,2,male,16.0,0
792,0,3,female,,10
793,0,1,male,,0
794,0,3,male,25.0,0
795,0,2,male,39.0,0
796,1,1,female,49.0,0
797,1,3,female,31.0,0
798,0,3,male,30.0,0
799,0,3,female,30.0,2
800,0,2,male,34.0,0
801,1,2,female,31.0,2
802,1,1,male,11.0,3
803,1,3,male,0.42,1
804,1,3,male,27.0,0
805,0,3,male,31.0,0
806,0,1,male,39.0,0
807,0,3,female,18.0,0
808,0,2,male,39.0,0
809,1,1,female,33.0,1
810,0,3,male,26.0,0
811,0,3,male,39.0,0
812,0,2,male,35.0,0
813,0,3,female,6.0,6
814,0,3,male,30.5,0
815,0,1,male,,0
816,0,3,female,23.0,0
817,0,2,male,31.0,2
818,0,3,male,43.0,0
819,0,3,male,10.0,5
820,1,1,female,52.0,2
821,1,3,male,27.0,0
822,0,1,male,38.0,0
823,1,3,female,27.0,1
824,0,3,male,2.0,5
825,0,3,male,,0
826,0,3,male,,0
827,1,2,male,1.0,2
828,1,3,male,,0
829,1,1,female,62.0,0
830,1,3,female,15.0,1
831,1,2,male,0.83,2
832,0,3,male,,0
833,0,3,male,23.0,0
834,0,3,male,18.0,0
835,1,1,female,39.0,2
836,0,3,male,21.0,0
837,0,3,male,,0
838,1,3,male,32.0,0
839,1,1,male,,0
840,0,3,male,20.0,0
841,0,2,male,16.0,0
842,1,1,female,30.0,0
843,0,3,male,34.5,0
844,0,3,male,17.0,0
845,0,3,male,42.0,0
846,0,3,male,,10
847,0,3,male,35.0,0
848,0,2,male,28.0,1
849,1,1,female,,1
850,0,3,male,4.0,6
851,0,3,male,74.0,0
852,0,3,female,9.0,2
853,1,1,female,16.0,1
854,0,2,female,44.0,1
855,1,3,female,18.0,1
856,1,1,female,45.0,2
857,1,1,male,51.0,0
858,1,3,female,24.0,3
859,0,3,male,,0
860,0,3,male,41.0,2
861,0,2,male,21.0,1
862,1,1,female,48.0,0
863,0,3,female,,10
864,0,2,male,24.0,0
865,1,2,female,42.0,0
866,1,2,female,27.0,1
867,0,1,male,31.0,0
868,0,3,male,,0
869,1,3,male,4.0,2
870,0,3,male,26.0,0
871,1,1,female,47.0,2
872,0,1,male,33.0,0
873,0,3,male,47.0,0
874,1,2,female,28.0,1
875,1,3,female,15.0,0
876,0,3,male,20.0,0
877,0,3,male,19.0,0
878,0,3,male,,0
879,1,1,female,56.0,1
880,1,2,female,25.0,1
881,0,3,male,33.0,0
882,0,3,female,22.0,0
883,0,2,male,28.0,0
884,0,3,male,25.0,0
885,0,3,female,39.0,5
886,0,2,male,27.0,0
887,1,1,female,19.0,0
888,0,3,female,,3
889,1,1,male,26.0,0
890,0,3,male,32.0,0
891,0,3,male,34.5,0
892,1,3,female,47.0,1
893,0,2,male,62.0,0
894,0,3,male,27.0,0
895,1,3,female,22.0,2
896,0,3,male,14.0,0
897,0,3,female,30.0,0
898,1,2,male,26.0,2
899,1,3,female,18.0,0
900,0,3,male,21.0,2
901,0,3,male,,0
902,0,1,male,46.0,0
903,1,1,female,23.0,1
904,0,2,male,63.0,1
905,1,1,female,47.0,1
906,1,2,female,24.0,1
907,0,2,male,35.0,0
908,0,3,male,21.0,0
909,0,3,female,27.0,1
910,1,3,female,45.0,0
911,0,1,male,55.0,1
912,1,3,male,9.0,1
913,1,1,female,,0
914,1,1,male,21.0,1
915,1,1,female,48.0,4
916,0,3,male,50.0,1
917,1,1,female,22.0,1
918,0,3,male,22.5,0
919,0,1,male,41.0,0
920,0,3,male,,2
921,0,2,male,50.0,1
922,0,2,male,24.0,2
923,1,3,female,33.0,3
924,0,3,female,,3
925,1,1,male,30.0,1
926,0,3,male,18.5,0
927,1,3,female,,0
928,0,3,female,21.0,0
929,1,3,male,25.0,0
930,1,3,male,,0
931,1,3,male,39.0,1
932,0,1,male,,0
933,0,3,male,41.0,0
934,0,2,female,30.0,0
935,1,1,female,45.0,1
936,0,3,male,25.0,0
937,1,1,male,45.0,0
938,0,3,male,,0
939,1,1,female,60.0,0
940,1,3,female,36.0,2
941,0,1,male,24.0,1
942,0,2,male,27.0,0
943,1,2,female,20.0,3
944,1,1,female,28.0,5
945,0,2,male,,0
946,0,3,male,10.0,5
947,0,3,male,35.0,0
948,1,3,male,25.0,0
949,0,3,male,,1
950,1,1,female,36.0,0
951,0,3,male,17.0,0
952,0,2,male,32.0,0
953,0,3,male,18.0,0
954,1,3,female,22.0,0
955,1,1,male,13.0,4
956,0,2,female,,0
957,0,3,female,18.0,0
958,0,1,male,47.0,0
959,1,1,male,31.0,0
960,1,1,female,60.0,5
961,1,3,female,24.0,0
962,0,3,male,21.0,0
963,1,3,female,29.0,0
964,0,1,male,28.5,0
965,1,1,female,35.0,0
966,0,1,male,32.5,0
967,0,3,male,,0
968,1,1,female,55.0,2
969,0,2,male,30.0,0
970,0,3,female,24.0,0
971,0,3,male,6.0,2
972,1,1,male,67.0,1
973,0,1,male,49.0,0
974,0,3,male,,0
975,0,2,male,,0
976,0,3,male,,1
977,0,3,female,27.0,0
978,1,3,female,18.0,0
979,0,3,female,,0
980,1,2,male,2.0,2
981,1,3,female,22.0,1
982,0,3,male,,0
983,1,1,female,27.0,3
984,0,3,male,,0
985,0,1,male,25.0,0
986,1,3,male,25.0,0
987,1,1,female,76.0,1
988,0,3,male,29.0,0
989,0,3,female,20.0,0
990,0,3,male,33.0,0
991,1,1,female,43.0,1
992,0,2,male,27.0,1
993,0,3,male,,0
994,1,3,male,26.0,0
995,1,3,female,16.0,2
996,0,3,male,28.0,0
997,1,3,male,21.0,0
998,1,3,male,,0
999,0,3,male,,0
1000,0,2,male,18.5,0
1001,0,2,male,41.0,0
1002,1,3,female,,0
1003,0,1,female,36.0,0
1004,0,3,female,18.5,0
1005,0,1,female,63.0,1
1006,0,3,male,18.0,1
1007,1,3,male,,0
1008,1,3,female,1.0,2
1009,0,1,male,36.0,0
1010,0,2,female,29.0,1
1011,1,2,female,12.0,0
1012,0,3,male,,1
1013,1,1,female,35.0,1
1014,0,3,male,28.0,0
1015,1,3,male,,0
1016,1,3,female,17.0,1
1017,0,3,male,22.0,0
1018,1,3,female,,2
1019,0,2,male,42.0,0
1020,0,3,male,24.0,0
1021,0,3,male,32.0,0
1022,1,1,male,53.0,0
1023,0,3,female,,4
1024,1,3,male,,1
1025,0,3,male,43.0,0
1026,0,3,male,24.0,0
1027,0,3,male,26.5,0
1028,0,2,male,26.0,0
1029,1,3,female,23.0,0
1030,0,3,male,40.0,7
1031,0,3,female,10.0,7
1032,1,1,female,33.0,0
1033,0,1,male,61.0,4
1034,0,2,male,28.0,0
1035,0,1,male,42.0,0
1036,0,3,male,31.0,3
1037,0,1,male,,0
